Game7
 Hollederer : 6                  Koerner : 4
  1) 42: 8/4 6/4                 31: 8/5 6/5 
  2) 55: 13/8 13/8 8/3 8/3       51: 13/8 6/5 
  3) 31: 8/5 6/5                 32: 13/10 13/11 
  4) 42: 8/4 24/22               61: 10/4 5/4 
  5) 11: 24/23 23/22 6/5 4/3     32: 11/8 8/6 
  6) 54: 13/8 8/4                32: 8/5 6/4 
  7) 52: 13/8 13/11              66: 24/18 24/18 13/7 13/7 
  8) 42: 8/4 4/2                  Doubles => 2
  9)  Drops                       Wins 1 point

 
