Game14
 rived : 10                      salak : 6
  1) 56: 24/18 18/13             21: 13/11 6/5 
  2) 31: 8/5 6/5                 65: 11/5 13/8 
  3) 65: 24/18 18/13             53: 13/8 24/21 
  4) 51: 13/8 6/5                41: 8/4 6/5 
  5) 61: 13/7 8/7                53: 8/3 24/21 
  6) 42: 13/9 9/7                66: 21/15 21/15 15/9 15/9 
  7) 42: 8/4 13/11                Doubles => 2
  8)  Takes                      
                                  Wins 2 points

 
