Game13
 Markowitz : 3                   Ballard : 13
  1) 65: 24/18 18/13             56: 24/18 18/13 
  2) 32: 24/21 13/11             56: 24/18 18/13 
  3) 11: 11/10 8/7 6/5 6/5       35: 13/8 6/3 
  4) 31: 10/7 6/5                31: 8/5 6/5 
  5) 46: 21/15 15/11             36: 13/7 8/5 
  6) 32: 13/10 8/6               26: 13/7 8/6 
  7) 36: 13/7 7/4                55: 13/8 13/8 13/8 13/8 
  8) 23: 13/10 13/11              Doubles => 2
  9)  Drops                       Wins 1 point

 
