Game2
 Pappas : 2                      Levermann : 0
  1) 65: 24/18 18/13             33: 8/5 8/5 6/3 6/3 
  2) 31: 8/5 6/5                 62: 24/18 13/11 
  3) 42: 13/9 9/7*               54: 25/21 13/8 
  4) 52: 13/8 7/5                21: 24/22 22/21 
  5) 61: 13/7 8/7                41: 11/7 8/7 
  6) 65: 13/7 6/1                32: 13/10 10/8 
  7) 31: 24/21 7/6               52: 13/8 6/4* 
  8) 65:                          Doubles => 2
  9)  Drops                       Wins 1 point

 
