Game9
 Levermann : 2                   Groestch : 8
  1) 53: 8/3 6/3                 53: 8/3 6/3 
  2) 54: 13/8 24/20              62: 13/7 7/5* 
  3) 64: 25/21 21/15             63: 24/18 8/5 
  4) 54: 15/10 10/6              21: 13/11 6/5 
  5) 63: 13/7* 13/10             43: 25/21 21/18* 
  6) 33:                         33: 18/15* 8/5 5/2 5/2 
  7) 21: 25/24                   41: 15/11 11/10 
  8) 54: 25/21 6/1*               Doubles => 2
  9)  Drops                       Wins 1 point

 
