Game5
 jose65,1664 : 4                  FutureDice,1720 : 4
  1)                             56: 24/18 18/13
  2) 34: 13/9 24/21              14: 13/9 9/8
  3) 36: 24/18 21/18             51: 13/8 6/5
  4) 61: 13/7 8/7                32: 8/5 24/22
  5) 62: 13/7 9/7                45: 13/8 8/4
  6) 52: 13/8 13/11              61: 22/16 6/5
  7) 45: 18/13 13/9              65: 25/20 20/14
  8) 33: 25/22 8/5 8/5 7/4        Doubles => 2
  9)  Drops                       Wins 1 point

 
