Game2
 Hollederer,1920 : 0             Reinhardt,1880 : 1
  1)                             54: 13/8 24/20 
  2) 42: 8/4 6/4                 31: 8/5 6/5 
  3) 63: 24/18 18/15             46: 20/14 14/10* 
  4) 31: 25/24 13/10             53: 8/3 6/3 
  5) 42: 13/9 10/8               21: 13/11 11/10 
  6) 53: 8/3 6/3                 52: 13/8 8/6 
  7) 25: 6/1* 9/7                21: 25/24* 10/8 
  8) 42: 25/21 7/5                Doubles => 2
  9)  Drops                       Wins 1 point

 
