Game19
 Granstedt : 18                  Vadiakas : 17
  1)                             51: 13/8 24/23 
  2) 62: 24/18 18/16             61: 13/7 8/7 
  3) 52: 16/11 13/11             32: 24/21 23/21 
  4) 63: 24/21 21/15             41: 8/4 6/5 
  5) 64: 15/9 13/9               31: 7/4 6/5 
  6) 53: 13/8 6/3                63: 13/7 6/3 
  7) 63: 11/5 8/5                61: 21/15 15/14* 
  8) 65:                          Doubles => 2
  9)  Drops                       Wins 1 point

 
