Game28
 Bill Robertie : 23              Simone Naim : 21
  1)                             42: 8/4 6/4 
  2) 61: 13/7 8/7                54: 24/20 20/15 
  3) 65: 24/18 18/13             62: 24/22 22/16 
  4) 62: 13/7 24/22              51: 13/8 16/15 
  5) 64: 13/7 13/9               64: 13/7 7/3* 
  6) 32: 25/22* 22/20            51: 25/20 6/5* 
  7) 65: 25/20* 20/14            43: 25/22 20/16* 
  8) 32: 25/23 6/3*               Doubles => 2
  9)  Drops                       Wins 1 point

 
