Game5
 bgyuki,1549 : 7                  minack,1923 : 2
  1)                             35: 8/3 6/3
  2) 35: 8/3 6/3                 36: 24/18 13/10
  3) 33: 13/10 10/7 8/5 8/5      65: 
  4) 24: 13/9 9/7                21: 25/23 24/23
  5) 55: 13/8 13/8 13/8 6/1      44: 13/9 13/9 9/5 9/5
  6) 61: 8/7 7/1                 45: 10/5 13/9
  7) 42: 8/4 6/4                 61: 23/17 9/8
  8) 32: 25/23 24/21              Doubles => 2
  9)  Drops                       Wins 1 point

 
