Game1
 Ralf Jonas : 0                 Gus Hansen : 0
  1)                             15: 24/23 13/8 
  2) 14: 6/2* 2/1*               12: 25/24* 25/23 
  3) 14: 25/21 24/23             16: 8/7 13/7 
  4) 36: 24/21 13/7              56: 23/18* 24/18 
  5) 15: 25/20 21/20             35: 6/3 8/3 
  6) 34: 8/5 13/9                56: 13/8 13/7 
  7) 55: 21/16 16/11 11/6 9/4    45: 18/14 18/13 
  8) 66: 13/7 8/2 8/2 7/1         Doubles => 2
  9)  Drops                       Wins 1 point 

 
