Game16
 shun : 14                       ipetani : 8
  1)                             61: 13/7 8/7
  2) 22: 6/4 6/4 13/11 13/11     51: 13/8 24/23
  3) 64: 8/2 6/2                 21: 25/24 24/22
  4) 41: 24/20 24/23             64: 24/18 22/18
  5) 64: 20/14 14/10             62: 13/7 8/6
  6) 43: 10/6 23/20              21: 7/5 6/5
  7) 21: 25/23 23/22             33: 6/3 6/3 7/4 7/4
  8) 32: 25/23 6/3                Doubles => 2
  9)  Drops                       Wins 1 point


 
