Game16
 BenZion : 14                    Tissona : 13
  1) 32: 13/10 13/11             66: 24/18 24/18 13/7 13/7 
  2) 52: 10/5 13/11              54: 13/8 8/4 
  3) 42: 8/4 6/4                 52: 8/3 6/4 
  4) 62: 11/5 24/22*             54: 
  5) 61: 22/16 6/5               21: 25/24 6/4 
  6) 64: 11/5 5/1*               52: 25/23 23/18 
  7) 54: 6/1 24/20               43: 13/9* 8/5* 
  8) 61: 25/24                    Doubles => 2
  9)  Drops                       Wins 1 point

 
