Game9
 Johanni : 7                     Svobodny : 7
  1) 54: 13/8 24/20              11: 8/7 8/7 6/5* 6/5 
  2) 64: 25/21 21/15             62: 13/7 24/22 
  3) 41: 15/11 24/23             42: 8/4 6/4 
  4) 61: 11/5 6/5                52: 7/2* 24/22 
  5) 33: 25/22 13/10 13/10 8/5   52: 13/8 8/6 
  6) 31: 10/7 8/7                64: 13/7 6/2 
  7) 33: 10/7 7/4 7/4 7/4        43: 7/3* 13/10 
  8) 22:                          Doubles => 2
  9)  Drops                       Wins 1 point

 
