Game10
 Gensoku,1942 : 8                 satoshi2104,1575 : 7
  1) 31: 8/5 6/5                 45: 13/8 13/9
  2) 11: 6/5 6/5 5/4 5/4         46: 24/18 13/9
  3) 43: 13/9 9/6                66: 13/7 13/7 24/18 8/2
  4) 53: 13/8 24/21              21: 6/4 2/1
  5) 51: 25/20 25/24             36: 25/22 22/16
  6) 66: 20/14 14/8 8/2 8/2      56: 16/10 9/4
  7) 13: 24/23 23/20             42: 9/5 7/5
  8) 54:                          Doubles => 2
  9)  Drops                       Wins 1 point

 
