Game7
 minack : 10                     Kaneko : 3
  1)                             63: 24/18 13/10 
  2) 51: 13/8 8/7*               22: 25/23 6/4 6/4 13/11 
  3) 11: 8/7 6/5 6/5 24/23       41: 11/7 8/7 
  4) 45: 24/20 20/15*            54: 25/21 13/8 
  5) 14: 15/11 23/22             51: 8/3* 23/22 
  6) 51: 25/20 6/5               24: 7/3 7/5* 
  7) 43:                         16: 22/16 6/5 
  8) 45:                          Doubles => 2
  9)  Drops                       Wins 1 point

 
