Game6
 Markowitz : 2                   Ballard : 3
  1)                             14: 13/9 6/5 
  2) 46: 24/20* 20/14            11: 25/24 24/23 6/5 6/5 
  3) 25: 14/9 13/11              41: 13/9 8/7 
  4) 15: 24/23 23/18*            16: 25/24 13/7* 
  5) 23: 25/22 11/9              46: 13/7 24/20 
  6) 15: 13/8 22/21              24: 24/20 13/11 
  7) 34: 8/4 4/1*                56: 25/20 20/14 
  8) 15: 6/1 13/12                Doubles => 2
  9)  Drops                       Wins 1 point

 
