1,21,13/11 6/5,41,24/20* 24/23
2,,Doubles => 2,,Takes
3,63,25/22 11/5*,31,25/24 23/20*
4,66,,62,20/14 13/11
5,54,25/20 24/20,44,13/9 13/9 11/7 7/3*
6,41,25/24 13/9,22,9/7 9/7 6/4 6/4
7,64,13/7 9/5,32,6/3 24/22
8,54,8/3* 7/3,62,25/23 14/8
9,31,13/10 6/5,61,13/12* 12/6
10,21,25/23 24/23,61,13/7 8/7
11,62,10/4 6/4,64,7/1* 8/4
12,66,,52,23/18 18/16
13,65,25/20 20/14,63,16/10 10/7
14,53,14/9 8/5,32,6/3 3/1
15,54,9/4 8/4,52,8/3 8/6
16,53,20/15 5/2,54,6/1 7/3
17,63,15/9 4/1,52,6/1 6/4
18,63,9/3 4/1,62,7/1 3/1
19,52,20/15 15/13,43,7/3 7/4
20,52,13/8 8/6,63,4/0 3/0
21,11,6/5 5/4 4/3 3/2,21,3/1 4/3
22,33,23/20 20/17 17/14 14/11,64,4/0 4/0
23,51,6/1 2/1,55,4/0 3/0 3/0 3/0
,,,,Wins 1 point and the match
