1,26,24/18 13/11,51,6/1* 8/7*
2,42,25/21 25/23,41,6/2* 2/1
3,52,25/20 20/18*,44,25/21 13/9 8/4* 8/4
4,41,,,Doubles => 2
5,,Takes,62,13/7* 13/11
6,52,25/20 25/23,66,21/15 15/9 13/7 11/5*
7,42,25/23 13/9,31,24/21 6/5
8,41,9/5 6/5,44,13/9 9/5 7/3 7/3
9,52,13/8 13/11,62,21/15 15/13
10,31,8/5 13/12*,55,
11,44,11/7 11/7 8/4 8/4,52,25/23 9/4
12,33,8/5 6/3 6/3 5/2*,64,
13,54,7/2 5/1*,66,
14,65,7/1 23/18,66,
15,66,23/17 17/11 12/6 11/5,54,
16,41,6/2 2/1,66,
17,32,18/16* 16/13,66,
18,22,13/11 11/9 9/7 7/5,66,
19,54,5/0 5/1,66,
20,61,6/0 6/5,21,
21,42,4/0 4/2,53,
22,32,5/2 2/0,41,25/21
23,31,3/0 3/2,51,
24,62,5/0 2/0,43,25/21 25/22
25,66,5/0 2/0 2/0 2/0,53,22/17 21/18
26,42,1/0 1/0,,
,,Wins 4 points,,
