Wel,ls,10,Joh,7
1,,,63,24/18 13/10
2,33,13/10 13/10 10/7* 10/7,46,25/21 21/15
3,34,24/20 13/10*,16,25/24 10/4
4,12,24/22 22/21*,51,25/20 6/5*
5,52,25/20* 7/5*,52,25/20* 25/23
6,36,25/22 13/7,34,8/4* 23/20
7,51,25/20 22/21*,16,25/24 13/7
8,12,20/18* 21/20,11,25/24 24/23 13/12* 8/7*
9,33,25/22 25/22 20/17* 20/17,41,25/21 24/23
10,66,22/16 17/11 17/11 16/10,66,13/7 13/7 12/6 7/1
11,41,22/21 21/17,52,21/16 7/5
12,54,17/12 8/4,41,16/12 6/5
13,12,6/4 10/9,56,12/6 7/2
14,51,12/7 10/9,44,24/20 24/20 6/2 6/2
15,,Doubles => 2,,Drops
,,Wins 1 point,,
