1,31,8/5 6/5,61,13/7 8/7
2,54,24/20 13/8,52,24/22 13/8
3,51,8/3* 6/5,32,Bar/22* 24/22
4,32,Bar/20,11,22/21(2) 8/6
5,11,24/22 8/7(2),22,13/11(2) 6/4(2)
6,65,22/11,53,21/13
7,11,11/10 6/4* 5/4,65,Cannot Move
8,42,13/9 10/8,64,Cannot Move
9,44,20/16(2) 7/3(2),63,Cannot Move
10,65,16/11 16/10,42,Bar/23 11/7
11,,Doubles => 2,,Drops
,,Wins 1 point,,
