1,31,8/5 6/5,61,13/7 8/7
2,61,13/7 8/7,54,13/8 13/9
3,53,24/21 21/16*,51,25/24 6/1*
4,,Doubles => 2,,Takes
5,62,25/23 16/10,43,24/21 21/17*
6,22,25/23 10/8* 6/4 6/4,44,
7,66,13/7 13/7 13/7 13/7,42,25/23 13/9
8,42,8/4 7/5,65,23/17 17/12
9,44,7/3 7/3 7/3 7/3,32,12/9 13/11
10,43,7/3 23/20,31,8/5* 6/5
11,31,25/24* 24/21,42,25/23 11/7
12,51,3/2*,44,
13,64,21/15 15/11,63,
14,21,23/21 3/2,64,
15,32,11/8 8/6,11,25/24 7/6 6/5 5/4*
16,65,,43,8/4 8/5
17,66,,31,6/3 5/4
18,54,,22,9/7 7/5 5/3 4/2
19,32,25/23* 5/2,62,
20,31,6/3 3/2,51,25/24 9/4
21,65,23/17 17/12,42,7/3 4/2
22,41,12/8 3/2,53,7/2 4/1
23,65,8/3 6/0,61,24/18 18/17
24,63,6/0 3/0,11,17/16 16/15 3/2 2/1
25,11,5/4 5/4 4/3 4/3,41,24/20 20/19
26,43,4/0 3/0,63,19/13 13/10
27,43,4/0 3/0,31,24/21* 15/14
28,43,25/21* 21/18,52,25/20 10/8
29,53,18/13 13/10,53,20/15* 15/12
30,62,,32,21/18 18/16
31,31,,21,16/14 14/13
32,65,,21,13/11 11/10
33,61,,31,8/5 5/4
34,51,,51,10/5 5/4
35,42,,42,12/8 8/6
36,52,,52,24/19 14/12
37,61,,61,12/6 6/5
38,51,,51,19/14 14/13
39,44,,44,13/9 9/5 6/2 5/1
40,65,,65,6/0 6/1
41,52,,31,5/2 1/0
42,43,,52,5/0 5/3
43,52,25/20 20/18,61,4/0 1/0
44,21,18/16 2/1,,Doubles => 4
45,,Drops,,Wins 2 points
