Wel,ls,7,Joh,1
1,,,54,13/8 24/20
2,16,13/7 8/7,41,24/20 6/5
3,14,24/20* 24/23,26,25/23 8/2*
4,46,25/21 20/14,41,6/2 23/22
5,12,6/4 14/13,53,8/3 6/3
6,23,6/3* 6/4,16,25/24 13/7
7,41,7/3 7/6,53,13/8 7/4*
8,12,25/24 6/4,63,13/7 7/4
9,51,13/8 13/12*,24,25/23 24/20
10,11,Illegal play (13;0;1;0;0,;Joh;Wells;0;1;7;1;0;0;-1;2;2;2;0;2;0;3;0;0;0;-2;0;-2;0;0;-2;0;-3;3;-2;-3;1;0;0;2;6;) 26,8/2 8/6
11,33,13/10 13/10 10/7 10/7,52,20/15 15/13
12,66,24/18 18/12* 8/2* 8/2,56,25/20
13,13,11/8 8/7,66,
14,33,7/4 7/4 4/1 4/1,56,25/20 20/14*
15,33,,,Doubles => 2
16,,Drops,,Wins 1 point
