1,21,13/11 6/5,41,24/23 24/20*
2,22,Bar/23 13/11 6/4(2),66,13/7(4)
3,54,13/4,22,7/5(2) 6/4(2)
4,32,24/22 8/5*,,Doubles => 2
5,,Takes,65,Bar/20* 8/2*
6,32,Bar/22 Bar/23*,31,Bar/24 23/20
7,62,24/16,64,24/18 13/9*
8,11,Bar/24 23/22 8/7*(2),44,Cannot Move
9,64,22/16* 16/12,61,Bar/24
10,54,13/8 12/8,31,Bar/22 6/5
11,31,13/10 11/10,53,7/2 5/2
12,61,24/18* 11/10,65,Bar/20 22/16
13,51,18/13 10/9*,31,Bar/22 24/23
14,55,8/3*(2) 7/2*(2),51,Bar/24 Bar/20
15,31,13/9,54,24/20 6/1
16,,Doubles => 4,,Takes
17,54,22/13,61,20/14 6/5
18,21,13/11* 11/10,33,Cannot Move
19,63,22/13,21,Bar/24 8/6
20,52,13/8 10/8,65,20/14 6/1
21,42,10/8 10/6,43,14/7
22,53,6/1* 4/1,42,Cannot Move
23,51,9/8 9/4,32,Cannot Move
24,32,8/6 4/1,62,Cannot Move
25,53,8/3 6/3,55,Bar/10 20/15
26,64,8/4 8/2,21,8/6 7/6
27,52,6/4 6/1,42,20/18 10/6
28,32,3/Off 2/Off,31,20/17 15/14
29,62,4/Off 2/Off,42,17/13 14/12
30,66,4/Off(3) 3/Off,62,13/11 12/6
31,22,3/1 3/Off 2/Off,33,18/6
32,21,1/Off(2),31,11/8 4/3
33,44,1/Off(3),,
,,Wins 8 point,,
