; Se,,t Pos=-ABcCCCAB----------aabdbb-/1,,
1,,,43,22/18* 6/3
2,33,Cannot Move,11,5/4 3/2 3/1
3,61,Bar/18,65,18/7*
4,55,Bar/5,51,7/1
5,31,5/1,54,22/13
6,22,8/6 5/3*(3),32,Cannot Move
7,54,8/3 4/Off,61,Cannot Move
8,42,6/4 6/2,64,Cannot Move
9,65,6/1 6/Off,51,Bar/20 13/12
10,64,4/Off(2),41,20/15
11,32,3/Off 2/Off,22,15/13 12/6
12,52,4/Off 2/Off,52,13/6
13,21,2/Off 1/Off,43,4/Off 3/Off
14,11,3/2(2) 1/Off(2),41,4/Off 1/Off
15,44,3/Off 2/Off(2),,
,,Wins 2 point,,
