1,32,24/21 13/11,63,13/7 7/4*
2,63,25/22 22/16,61,13/7 8/7
3,63,16/10 24/21*,63,25/22 24/18
4,51,10/5 6/5,53,18/13 6/3
5,54,8/3* 13/9,31,25/22* 24/23
6,41,25/21 9/8,53,13/8 6/3
7,22,13/11 8/6 6/4 6/4,61,13/7 23/22
8,32,11/8 8/6,33,13/10 13/10 8/5 8/5
9,53,13/8 11/8,53,7/2 8/5
10,31,8/5 6/5,53,6/1 5/2
11,64,8/2 6/2,53,10/5 10/7
12,32,13/10 10/8,41,5/1 7/6
13,65,21/15 21/16,63,7/1 7/4
14,43,16/12 15/12,44,22/18 22/18 18/14 18/14
15,64,8/2 8/4,31,6/3 5/4
16,41,8/4 4/3,,Doubles => 2
17,,Takes,64,14/8 14/10
18,53,12/7 7/4,64,10/4 8/4
19,52,12/7 5/3,41,4/0 1/0
20,11,7/6 2/1 2/1 1/0,52,5/0 2/0
21,54,5/0 4/0,42,4/0 2/0
22,62,6/0 2/0,43,4/0 3/0
23,31,3/0 1/0,44,6/2 6/2 4/0 3/0
24,55,6/1 6/1 5/0 5/0,21,2/0 1/0
25,32,3/0 4/2,22,3/1 2/0 1/0 1/0
,,,,Wins 2 points
