Wel,ls,10,Joh,6
1,25,13/8 24/22,51,13/8 24/23
2,44,8/4 8/4 6/2* 6/2,53,25/20 6/3*
3,11,25/24 24/23 23/22* 6/5*,44,
4,56,22/16 16/11,52,25/20*
5,44,25/21 13/9 13/9 9/5*,66,
6,21,8/6 6/5,55,
7,33,13/10 11/8 4/1* 4/1,44,25/21 25/21 25/21 8/4*
8,23,25/23 24/21*,55,
9,41,13/9 10/9,42,25/21 13/11
10,42,9/5 23/21,43,21/18 18/14
11,24,9/5 5/3,44,14/10 13/9 13/9 10/6
12,55,8/3 8/3 6/1 6/1,53,21/16* 16/13
13,26,25/23 21/15,11,11/10* 10/9 6/5 6/5
14,66,,43,21/17 21/18
15,35,25/22 23/18,53,8/3* 6/3
16,11,25/24 5/4 5/4 5/4,41,8/4* 8/7*
17,52,25/23,36,17/11 7/4
18,15,25/24 23/18,13,11/8 8/7*
19,55,,54,18/13 9/5
20,16,25/24 24/18*,44,
21,51,24/23 23/18,,Doubles => 2
22,,Drops,,Wins 1 point
