1,23,24/21 13/11,45,13/8 8/4*
2,53,25/20 24/21*,61,25/24 24/18
3,36,11/5 8/5,11,6/5* 6/5 5/4* 5/4
4,41,25/24,13,8/5 6/5
5,26,25/23 13/7*,55,
6,26,13/7 24/22,46,25/21 21/15
7,,Doubles => 2,,Takes
8,52,23/18 18/16,63,15/9* 24/21
9,35,25/22 6/1*,11,25/24* 24/23 23/22 22/21
10,35,25/22 6/1,43,13/9 13/10
11,13,8/5 8/7,45,13/8 13/9
12,13,5/2 2/1,13,10/7 8/7
13,33,13/10 13/10 5/2 5/2,51,21/16 21/20
14,56,7/1 6/1,44,16/12 12/8 9/5 8/4
15,54,7/2 7/3,26,20/14 14/12
16,46,10/4 10/6,54,9/4 9/5
17,33,6/3 6/3 6/3 4/1,26,12/6 4/2
18,52,3/1,33,8/5 8/5 7/4 7/4
19,53,22/17 17/14,42,4/0 2/0
20,65,22/16 16/11,13,6/3* 4/3
21,12,25/24 14/12,13,6/3 6/5
22,44,12/8 11/7 8/4 7/3,41,5/1* 1/0
23,61,25/19 19/18,56,5/0 5/0
24,52,18/13 13/11,12,3/1 1/0
25,52,11/6 2/0,36,5/0 3/0
26,22,4/2 2/0 2/0 2/0,63,5/0 3/0
27,45,6/2 3/0,34,4/0 4/1
28,52,3/0 2/0,33,5/2 5/2 4/1 2/0
29,12,3/1 1/0,66,2/0 1/0 1/0
,,,,Wins 2 points and the match
