1,21,13/11 6/5,41,24/20* 24/23
2,62,25/23 11/5*,34,25/21 23/20*
3,21,25/23 6/5*,64,25/21 13/7
4,51,23/18* 6/5,65,
5,32,24/21 13/11,53,25/22 13/8
6,63,11/5 21/18,63,22/16 16/13
7,53,23/18 18/15,32,13/10* 10/8
8,32,25/22 13/11,32,6/3* 3/1*
9,61,25/24*,44,25/21 13/9 8/4 8/4
10,41,25/24 11/7,62,21/15 15/13
11,11,24/23 24/23 23/22 8/7,53,8/3* 6/3
12,41,25/24 24/20,41,9/5* 6/5
13,41,25/24 5/1,43,13/9 9/6
14,31,13/10 24/23,,Doubles => 2
15,,Drops,,Wins 1 point
