1,31,8/5 6/5,61,13/7 8/7
2,62,13/7 7/5,64,24/18 18/14
3,31,24/21 21/20,51,14/9 9/8
4,51,6/1* 24/23,52,25/23 23/18
5,22,13/11 13/11 11/9 9/7*,53,25/22 13/8
6,,Doubles => 2,,Takes
7,11,5/4 4/3* 3/2 2/1,51,
8,53,8/3 6/3,54,25/21 21/16
9,53,11/6 23/20,61,16/10 10/9
10,22,8/6 7/5 6/4 6/4,65,13/7 9/4
11,61,20/14 14/13,64,8/2 8/4
12,51,20/15 15/14,62,8/2 13/11*
13,42,,52,13/8 6/4
14,64,,53,7/2 11/8
15,22,,52,7/2 8/6
16,44,,66,8/2 8/2 7/1 6/0
17,61,25/24* 13/7,53,
18,51,13/8 8/7,41,
19,11,13/12 5/4 4/3 3/2,63,
20,64,12/6 6/2,21,
21,63,24/18 7/4,21,
22,42,18/14 7/5,,
,,Wins 2 points,,
