1,32,24/21 13/11,63,13/7 7/4*
2,64,25/21* 21/15,21,25/23 24/23
3,,Doubles => 2,,Takes
4,55,15/10 13/8 8/3 8/3,32,24/21 23/21
5,31,24/21 11/10,41,8/4* 4/3
6,33,25/22* 8/5 8/5 6/3,31,25/24 24/21
7,32,13/10 22/20,61,23/17 6/5*
8,52,25/20* 10/8*,64,25/21
9,54,13/8 20/16,43,25/21 8/5
10,54,16/11 13/9,54,21/16* 16/12
11,51,25/20* 6/5,61,25/24 8/2
12,61,20/14 14/13*,41,25/24 6/2
13,65,11/5 13/8,22,13/11 13/11 13/11 11/9
14,63,8/2 5/2,52,21/16 16/14
15,61,10/9 9/3,66,21/15* 15/9 11/5 11/5
16,53,25/22 22/17,64,14/8* 13/9
17,41,25/21 3/2,53,9/4* 8/5
18,64,25/21* 21/15,32,
19,51,15/10 10/9,32,
20,43,9/5 8/5,65,
21,21,8/6 6/5,42,25/21 6/4
22,63,6/0 5/2,61,21/15 5/4
23,64,6/0 6/2,62,15/9 9/7
24,53,5/0 5/2,53,21/16 16/13
25,53,5/0 3/0,52,13/8 9/7
26,43,3/0,51,9/4 4/3
27,33,5/2 5/2 3/0 2/0,63,24/18 21/18
28,53,2/0 2/0,32,8/5 5/3
29,66,2/0 2/0 2/0 2/0,,
,,Wins 4 points,,
